total_study_hours,avg_session_length,study_sessions_per_week,focus_ratio,late_night_study_ratio,days_until_deadline_avg,video_completion_rate,practice_problem_attempts,forum_participation,study_streak_days,final_grade,pass_fail
19.1,71.2,16.1,0.785,0.203,3.1,0.55,15.0,2,26.0,95.0,1
21.5,60.2,21.5,0.854,0.261,14.0,0.91,19.0,1,21.0,89.2,1
15.1,33.8,25.0,0.389,0.349,9.6,0.625,11.0,5,26.0,81.4,1
18.4,38.7,25.0,0.577,0.545,2.7,0.766,14.0,1,8.0,56.9,0
13.4,53.9,15.0,0.599,0.411,2.3,0.449,23.0,1,3.0,85.4,1
16.6,47.8,20.9,0.904,0.027,3.7,0.528,0.0,2,5.0,66.6,1
14.3,56.3,15.3,0.79,0.585,2.2,0.74,9.0,2,8.0,72.2,1
15.5,61.1,15.2,0.45,0.048,6.3,0.522,35.0,2,9.0,80.4,1
18.0,70.6,15.3,0.764,0.362,6.2,0.313,5.0,2,26.0,75.1,1
10.9,58.6,11.2,0.746,0.445,3.1,0.653,8.0,1,17.0,85.3,1
25.5,69.7,21.9,0.676,0.416,7.9,0.969,2.0,2,13.0,88.9,1
10.0,61.3,9.8,0.449,0.088,7.9,0.496,9.0,4,21.0,84.0,1
8.9,20.5,25.0,0.564,0.472,3.5,0.877,13.0,4,15.0,53.6,0
20.8,41.2,25.0,0.921,0.337,3.0,0.838,50.0,4,17.0,93.6,1
19.0,57.1,19.9,0.966,0.195,4.2,0.618,19.0,4,9.0,96.1,1
18.1,35.8,25.0,0.69,0.151,7.4,0.566,10.0,1,4.0,75.3,1
18.1,72.0,15.1,0.756,0.34,14.0,0.413,3.0,6,3.0,74.9,1
14.9,90.6,9.9,0.748,0.359,7.3,0.655,8.0,4,3.0,87.3,1
10.5,84.4,7.5,0.673,0.085,2.5,0.796,7.0,2,16.0,78.4,1
15.4,55.7,16.6,0.641,0.37,6.5,0.422,1.0,1,6.0,62.8,1
11.6,89.8,7.8,0.491,0.448,5.7,0.859,5.0,1,9.0,55.9,0
19.9,63.0,18.9,0.885,0.077,5.5,0.752,10.0,2,4.0,95.5,1
14.3,53.3,16.1,0.443,0.417,2.2,0.56,11.0,4,20.0,90.5,1
10.9,47.7,13.7,0.955,0.464,6.4,0.624,23.0,2,11.0,72.4,1
13.4,54.0,14.9,0.328,0.199,5.3,0.558,36.0,1,12.0,77.2,1
17.1,52.2,19.6,0.933,0.64,2.5,0.79,11.0,4,13.0,90.5,1
12.2,63.4,11.5,0.614,0.155,13.1,0.591,25.0,1,14.0,74.6,1
10.9,63.2,10.3,0.357,0.206,2.3,0.943,10.0,3,20.0,70.9,1
16.2,60.1,16.2,0.865,0.156,6.9,0.842,6.0,6,16.0,84.6,1
16.2,68.7,14.2,0.745,0.589,4.9,0.363,22.0,0,6.0,80.2,1
12.5,83.8,8.9,0.747,0.234,4.3,0.594,10.0,3,6.0,86.4,1
12.6,79.0,9.6,0.769,0.213,10.6,0.797,7.0,3,30.0,89.5,1
16.2,30.3,25.0,0.707,0.129,8.9,0.672,6.0,2,18.0,71.0,1
7.8,15.0,25.0,0.526,0.536,4.9,0.839,3.0,0,30.0,52.2,0
8.0,78.7,6.1,0.662,0.157,3.2,0.733,14.0,4,9.0,70.2,1
11.4,32.7,21.0,0.711,0.173,4.0,0.788,8.0,6,25.0,67.2,1
13.9,55.5,15.1,0.419,0.039,4.5,0.492,26.0,3,14.0,79.5,1
16.6,36.6,25.0,0.806,0.163,9.0,0.823,42.0,3,13.0,91.8,1
22.4,24.0,25.0,0.641,0.084,6.6,0.619,6.0,1,11.0,82.3,1
19.3,70.8,16.3,0.314,0.255,9.2,0.497,4.0,1,17.0,77.0,1
14.2,75.2,11.3,0.722,0.402,2.2,0.314,37.0,2,15.0,79.9,1
14.9,48.5,18.5,0.683,0.189,9.6,0.711,15.0,2,10.0,83.4,1
10.0,15.0,25.0,0.526,0.208,11.4,0.806,15.0,2,7.0,57.9,0
14.9,49.1,18.2,0.576,0.108,3.3,0.619,17.0,2,10.0,80.9,1
13.6,67.8,12.0,0.453,0.59,8.4,0.852,29.0,2,11.0,72.9,1
16.6,30.4,25.0,0.589,0.526,10.9,0.703,29.0,4,8.0,65.8,1
10.9,63.7,10.2,0.435,0.411,3.8,0.293,21.0,2,6.0,67.9,1
17.6,59.7,17.7,0.637,0.392,2.6,0.705,5.0,0,11.0,70.1,1
22.7,71.6,19.0,0.596,0.111,6.1,0.314,2.0,2,14.0,85.7,1
14.5,62.4,13.9,0.457,0.347,1.5,0.541,5.0,2,13.0,75.0,1
17.0,40.5,25.0,0.903,0.33,9.5,0.978,3.0,3,5.0,71.2,1
18.5,83.9,13.2,0.589,0.36,3.0,0.828,23.0,2,26.0,89.9,1
13.0,56.8,13.7,0.93,0.034,4.6,0.361,8.0,3,30.0,73.9,1
16.1,59.5,16.3,0.612,0.163,7.9,0.823,21.0,2,16.0,98.9,1
15.1,41.3,21.9,0.863,0.106,7.3,0.505,14.0,4,17.0,70.6,1
15.5,51.1,18.2,0.856,0.155,7.8,0.862,8.0,1,12.0,82.9,1
11.1,42.3,15.8,0.893,0.193,3.3,0.813,6.0,1,13.0,87.2,1
15.1,56.5,16.0,0.797,0.28,6.4,0.656,7.0,1,3.0,76.3,1
17.5,94.2,11.1,0.649,0.351,8.7,0.905,4.0,1,10.0,73.9,1
22.3,32.6,25.0,0.832,0.522,3.7,0.674,43.0,2,10.0,89.1,1
19.8,27.7,25.0,0.88,0.136,13.6,0.623,12.0,3,29.0,96.6,1
25.8,89.4,17.3,0.682,0.405,4.7,0.711,14.0,7,9.0,90.1,1
11.2,55.8,12.0,0.693,0.272,1.4,0.764,13.0,3,26.0,75.9,1
19.4,46.6,24.9,0.534,0.047,4.7,0.807,23.0,2,11.0,78.3,1
15.9,80.8,11.8,0.88,0.295,10.8,0.582,7.0,2,8.0,83.1,1
25.9,47.9,25.0,0.313,0.501,2.9,0.472,30.0,2,3.0,60.4,1
11.0,96.5,6.8,0.686,0.486,2.8,0.923,10.0,1,13.0,72.4,1
10.8,73.6,8.8,0.538,0.22,6.7,0.835,10.0,1,7.0,85.8,1
12.0,50.2,14.3,0.76,0.254,2.6,0.718,34.0,3,4.0,74.2,1
4.4,103.1,2.5,0.652,0.399,2.5,0.501,7.0,3,15.0,59.3,0
12.4,47.9,15.5,0.566,0.364,3.2,0.717,18.0,3,13.0,67.2,1
11.2,74.8,9.0,0.666,0.304,12.4,0.648,13.0,2,14.0,84.1,1
15.8,66.0,14.3,0.66,0.188,7.1,0.74,8.0,4,11.0,92.0,1
16.7,86.0,11.7,0.817,0.452,5.5,0.62,20.0,2,7.0,91.7,1
24.4,91.2,16.0,0.785,0.181,3.3,0.746,4.0,2,6.0,82.5,1
19.8,60.6,19.5,0.898,0.444,8.6,0.716,8.0,2,24.0,94.8,1
12.1,44.9,16.2,0.613,0.112,7.6,0.684,14.0,1,16.0,89.7,1
10.5,69.2,9.1,0.736,0.376,12.9,0.654,39.0,2,19.0,89.2,1
17.5,46.4,22.6,0.781,0.107,2.9,0.683,36.0,0,10.0,83.3,1
8.4,100.3,5.0,0.553,0.428,2.7,0.558,18.0,3,6.0,64.3,1
24.2,62.7,23.1,0.933,0.528,1.4,0.886,11.0,3,6.0,84.6,1
20.9,52.7,23.8,0.742,0.274,7.2,0.794,2.0,3,11.0,87.3,1
12.7,63.7,11.9,0.855,0.368,6.2,0.699,26.0,3,7.0,84.9,1
6.4,33.1,11.7,0.736,0.502,4.2,0.849,28.0,1,3.0,59.5,0
21.8,40.6,25.0,0.3,0.473,1.4,0.763,18.0,1,15.0,67.2,1
14.4,84.0,10.3,0.893,0.155,11.5,0.641,11.0,2,19.0,98.8,1
21.2,46.9,25.0,0.63,0.223,6.0,0.645,24.0,2,8.0,83.3,1
7.0,39.1,10.8,0.915,0.563,10.3,0.692,13.0,0,4.0,68.8,1
12.0,70.7,10.2,0.728,0.261,10.8,0.878,12.0,0,12.0,76.3,1
15.0,83.7,10.8,0.882,0.365,7.1,0.655,3.0,0,10.0,85.7,1
15.2,74.4,12.3,0.978,0.2,7.7,0.768,23.0,2,9.0,100.0,1
12.7,79.9,9.6,0.646,0.279,3.6,0.633,15.0,1,14.0,85.5,1
18.1,44.9,24.2,0.713,0.585,5.7,0.624,36.0,3,12.0,87.1,1
9.7,31.6,18.4,0.767,0.219,9.3,0.543,8.0,1,14.0,71.8,1
14.3,90.0,9.5,0.74,0.274,3.2,0.469,6.0,2,11.0,72.9,1
15.6,53.5,17.5,0.51,0.236,8.9,0.701,28.0,3,7.0,82.4,1
17.6,55.0,19.2,0.774,0.449,8.6,0.732,32.0,1,6.0,86.8,1
18.6,86.6,12.9,0.733,0.342,8.5,0.588,14.0,4,11.0,97.7,1
9.4,71.1,7.9,0.773,0.189,5.5,0.828,25.0,1,18.0,90.3,1
7.3,69.1,6.4,0.91,0.07,3.3,0.596,10.0,2,11.0,80.1,1
21.4,103.3,12.4,0.706,0.287,13.6,0.787,11.0,1,7.0,82.4,1
16.7,47.1,21.2,0.58,0.423,11.1,0.55,18.0,4,12.0,62.7,1
11.3,78.6,8.6,0.98,0.254,5.5,0.644,11.0,4,12.0,84.7,1
22.8,61.1,22.3,0.376,0.367,6.2,0.881,16.0,0,7.0,80.5,1
15.6,65.4,14.3,0.862,0.271,4.5,0.618,15.0,3,29.0,89.1,1
20.9,90.6,13.8,0.728,0.401,1.5,0.581,5.0,1,17.0,95.9,1
15.3,70.2,13.1,0.895,0.463,5.1,0.579,16.0,2,10.0,74.1,1
25.3,70.8,21.5,0.884,0.053,7.2,0.531,5.0,0,28.0,82.3,1
23.8,81.5,17.5,0.556,0.222,3.8,0.677,23.0,2,13.0,87.8,1
13.8,52.7,15.7,0.798,0.227,4.4,0.457,28.0,3,13.0,78.5,1
19.9,43.2,25.0,0.621,0.258,4.4,0.616,12.0,0,23.0,79.5,1
18.2,39.1,25.0,0.422,0.139,5.7,0.76,39.0,4,17.0,79.4,1
21.8,20.7,25.0,0.513,0.33,4.7,0.633,32.0,0,14.0,66.1,1
10.2,101.1,6.0,0.772,0.17,3.1,0.604,16.0,6,8.0,86.0,1
18.4,37.9,25.0,0.857,0.285,5.7,0.73,11.0,4,11.0,67.9,1
20.3,55.6,21.9,0.803,0.25,6.9,0.908,27.0,7,10.0,82.1,1
6.2,54.5,6.8,0.599,0.116,6.0,0.85,39.0,0,7.0,63.0,1
9.1,66.1,8.2,0.503,0.207,1.4,0.471,17.0,2,30.0,75.0,1
4.8,76.3,3.8,0.54,0.4,7.7,0.795,9.0,0,17.0,65.8,1
13.7,77.2,10.6,0.831,0.179,2.5,0.486,22.0,1,10.0,94.4,1
18.6,48.3,23.1,0.95,0.343,6.9,0.85,13.0,2,13.0,89.9,1
22.5,56.7,23.8,0.907,0.278,7.1,0.939,6.0,2,10.0,96.3,1
15.4,65.7,14.0,0.867,0.052,1.9,0.77,10.0,2,7.0,86.8,1
23.1,55.0,25.0,0.741,0.062,8.8,0.722,28.0,1,3.0,81.9,1
8.1,92.1,5.3,0.967,0.114,13.5,0.649,12.0,4,14.0,87.4,1
6.5,69.8,5.6,0.462,0.102,4.5,0.755,9.0,2,11.0,72.4,1
14.7,74.7,11.8,0.796,0.735,6.9,0.935,33.0,3,20.0,91.5,1
16.9,73.3,13.9,0.865,0.385,4.0,0.652,28.0,2,8.0,83.1,1
14.8,83.5,10.7,0.476,0.232,2.5,0.391,10.0,3,20.0,79.4,1
4.7,63.6,4.4,0.723,0.238,9.3,0.679,45.0,1,22.0,73.0,1
14.6,34.1,25.0,0.693,0.204,7.0,0.713,13.0,2,4.0,64.3,1
8.5,68.0,7.5,0.682,0.419,3.5,0.965,17.0,5,19.0,69.8,1
18.3,47.0,23.4,0.514,0.188,2.5,0.74,14.0,3,17.0,76.4,1
16.8,49.4,20.4,0.934,0.244,13.9,0.808,7.0,2,10.0,74.5,1
10.3,71.7,8.6,0.679,0.397,2.1,0.934,12.0,0,20.0,70.7,1
12.4,84.8,8.8,0.597,0.221,7.5,0.656,13.0,1,18.0,85.7,1
9.7,60.4,9.6,0.644,0.077,5.9,0.661,2.0,2,12.0,65.3,1
14.7,66.2,13.3,0.718,0.551,8.3,0.666,17.0,4,4.0,75.0,1
19.8,94.0,12.6,0.838,0.305,11.9,0.529,25.0,1,9.0,93.4,1
10.1,64.8,9.3,0.849,0.388,0.7,0.894,5.0,5,19.0,78.7,1
17.5,112.0,9.4,0.875,0.383,2.7,0.537,22.0,3,13.0,84.4,1
12.3,71.3,10.4,0.966,0.427,5.0,0.569,29.0,2,8.0,87.6,1
11.0,24.8,25.0,0.815,0.124,12.4,0.807,12.0,5,11.0,81.8,1
14.5,75.1,11.6,0.938,0.093,4.1,0.327,45.0,3,12.0,98.6,1
9.8,67.6,8.7,0.671,0.555,3.6,0.672,17.0,1,6.0,67.3,1
12.2,85.8,8.6,0.703,0.322,1.0,0.757,2.0,2,8.0,67.6,1
9.0,73.5,7.4,0.72,0.006,3.4,0.829,4.0,3,30.0,76.9,1
24.8,57.2,25.0,0.832,0.324,7.4,0.914,17.0,0,1.0,87.5,1
15.2,35.5,25.0,0.571,0.107,5.0,0.2,21.0,2,11.0,66.9,1
11.5,55.8,12.4,0.859,0.174,3.4,0.508,14.0,3,19.0,77.3,1
16.1,43.0,22.4,0.663,0.283,14.0,0.785,16.0,2,11.0,75.9,1
14.4,48.4,17.9,0.695,0.184,4.5,0.6,14.0,0,8.0,71.8,1
13.9,71.8,11.6,0.624,0.552,5.7,0.657,8.0,1,9.0,72.6,1
18.1,93.4,11.6,0.63,0.085,3.2,0.718,15.0,1,29.0,80.8,1
18.8,67.9,16.6,0.676,0.373,2.4,0.615,3.0,2,16.0,81.4,1
12.3,36.1,20.5,0.767,0.27,8.0,0.244,10.0,2,15.0,72.2,1
12.1,68.9,10.6,0.339,0.107,1.6,0.828,20.0,3,10.0,71.6,1
13.6,83.9,9.7,0.737,0.446,7.0,0.483,6.0,4,13.0,90.0,1
3.5,47.8,4.4,0.882,0.313,0.5,0.391,11.0,2,6.0,62.2,1
7.4,57.3,7.8,0.627,0.074,6.5,0.863,15.0,0,30.0,67.6,1
21.8,60.3,21.7,0.893,0.375,2.6,0.684,43.0,0,16.0,84.3,1
23.2,44.3,25.0,0.813,0.183,3.0,0.92,27.0,3,11.0,91.3,1
13.8,73.0,11.3,0.894,0.537,4.5,0.886,3.0,2,12.0,80.7,1
17.9,57.6,18.6,0.575,0.408,2.3,0.601,50.0,1,15.0,82.7,1
16.6,68.4,14.5,0.74,0.302,1.3,0.845,34.0,5,6.0,80.7,1
30.4,42.3,25.0,0.417,0.269,4.8,0.83,16.0,1,9.0,78.6,1
20.6,51.3,24.1,0.623,0.543,8.2,0.329,24.0,3,6.0,69.2,1
14.4,74.4,11.6,0.873,0.221,6.1,0.605,7.0,4,16.0,81.1,1
10.2,52.5,11.7,0.452,0.036,9.9,0.909,13.0,4,5.0,70.2,1
7.0,94.5,4.4,0.764,0.3,1.4,0.86,7.0,6,6.0,66.7,1
16.0,52.0,18.5,0.512,0.357,4.1,0.883,21.0,1,18.0,86.0,1
11.2,64.5,10.4,0.418,0.172,5.4,0.67,50.0,4,13.0,93.1,1
7.9,78.7,6.0,0.856,0.208,3.0,0.8,10.0,4,27.0,86.7,1
11.8,31.6,22.3,0.786,0.271,5.6,0.848,12.0,1,9.0,78.8,1
9.6,24.8,23.2,0.432,0.042,9.6,0.701,14.0,1,10.0,71.9,1
23.4,29.5,25.0,0.485,0.482,7.1,0.675,10.0,3,24.0,85.0,1
19.4,85.3,13.7,0.773,0.27,10.4,0.726,20.0,7,20.0,95.7,1
15.0,49.0,18.3,0.845,0.621,6.3,0.895,29.0,7,18.0,89.3,1
22.4,111.2,12.1,0.56,0.469,5.0,0.922,9.0,1,7.0,81.8,1
15.4,48.7,19.0,0.836,0.254,12.0,0.615,14.0,2,7.0,84.0,1
10.7,63.7,10.1,0.785,0.139,5.7,0.698,22.0,3,11.0,83.1,1
22.6,90.8,14.9,0.688,0.343,13.5,0.691,6.0,2,10.0,96.6,1
17.7,100.1,10.6,0.871,0.458,8.9,0.783,5.0,4,7.0,88.8,1
9.8,101.2,5.8,0.553,0.106,3.5,0.646,8.0,3,9.0,72.2,1
14.0,84.2,10.0,0.679,0.101,4.7,0.517,23.0,0,11.0,80.8,1
10.6,80.5,7.9,0.629,0.497,11.9,0.724,6.0,1,20.0,77.4,1
8.1,71.9,6.8,0.72,0.35,9.9,0.834,9.0,1,23.0,81.6,1
19.6,75.6,15.6,0.654,0.307,8.1,0.479,14.0,4,16.0,77.1,1
24.5,49.0,25.0,0.477,0.23,7.6,0.377,15.0,5,4.0,71.7,1
8.0,43.6,11.0,0.765,0.463,2.2,0.751,12.0,2,21.0,79.6,1
17.8,59.9,17.8,0.945,0.157,2.5,0.868,14.0,2,16.0,92.0,1
11.7,56.6,12.5,0.781,0.153,6.1,0.814,3.0,6,18.0,79.4,1
12.6,50.9,14.8,0.792,0.126,3.0,0.593,8.0,2,7.0,75.1,1
12.0,73.9,9.8,0.753,0.15,4.5,0.787,24.0,3,24.0,86.3,1
10.7,79.1,8.1,0.913,0.226,4.3,0.403,8.0,2,10.0,79.5,1
15.2,61.8,14.8,0.93,0.795,7.4,0.831,16.0,5,7.0,73.7,1
10.8,89.6,7.3,0.726,0.315,6.3,0.419,15.0,0,17.0,74.0,1
16.4,37.2,25.0,0.696,0.369,9.5,0.293,23.0,0,11.0,71.6,1
14.7,56.1,15.8,0.768,0.142,6.3,0.365,25.0,0,16.0,85.1,1
13.8,45.7,18.1,0.527,0.362,6.1,0.887,30.0,1,9.0,80.6,1
10.5,22.7,25.0,0.546,0.238,5.3,0.932,36.0,3,5.0,74.1,1
12.1,58.3,12.5,0.871,0.204,10.3,0.898,6.0,1,9.0,78.2,1
18.8,57.6,19.6,0.779,0.505,5.4,0.922,2.0,3,5.0,73.5,1
17.5,90.3,11.6,0.593,0.42,3.4,0.314,10.0,1,16.0,92.8,1
10.1,72.6,8.4,0.692,0.185,7.8,0.855,6.0,3,2.0,73.3,1
15.5,39.5,23.5,0.479,0.345,5.0,0.677,7.0,1,20.0,65.8,1
18.8,97.1,11.6,0.714,0.556,8.8,0.621,20.0,4,5.0,89.9,1
6.7,84.4,4.7,0.538,0.621,10.9,0.685,29.0,1,19.0,82.2,1
17.7,71.6,14.8,0.752,0.333,4.7,0.861,16.0,6,15.0,86.2,1
11.7,55.5,12.6,0.703,0.466,10.7,0.522,8.0,6,3.0,66.3,1
17.9,40.8,25.0,0.876,0.388,9.0,0.961,17.0,3,12.0,75.1,1
11.2,52.6,12.8,0.872,0.284,3.8,0.551,23.0,1,4.0,87.7,1
6.0,81.8,4.4,0.9,0.18,3.1,0.812,3.0,1,12.0,64.6,1
6.9,97.7,4.2,0.644,0.361,2.9,0.62,11.0,2,7.0,66.3,1
15.2,90.9,10.1,0.834,0.262,2.5,0.935,11.0,2,3.0,76.3,1
16.3,50.2,19.5,0.765,0.371,10.1,0.726,12.0,0,15.0,72.4,1
10.5,37.6,16.7,0.751,0.175,4.8,0.466,6.0,2,10.0,70.3,1
18.2,62.8,17.4,0.581,0.366,13.0,0.685,17.0,1,11.0,78.6,1
6.7,24.6,16.3,0.684,0.156,3.5,0.572,18.0,5,3.0,65.2,1
14.7,66.5,13.2,0.822,0.123,3.9,0.689,6.0,1,3.0,93.0,1
8.9,57.0,9.4,0.974,0.541,7.2,0.777,33.0,1,9.0,82.2,1
11.7,50.7,13.9,0.722,0.334,12.6,0.598,5.0,2,19.0,84.6,1
15.2,28.1,25.0,0.879,0.116,3.8,0.308,8.0,0,16.0,76.0,1
10.7,70.3,9.1,0.78,0.283,8.4,0.669,4.0,1,14.0,74.8,1
13.1,49.3,15.9,0.797,0.32,5.4,0.576,4.0,3,22.0,75.4,1
20.0,36.6,25.0,0.625,0.373,7.3,0.36,15.0,0,8.0,71.6,1
12.1,15.0,25.0,0.614,0.463,3.2,0.689,8.0,4,15.0,64.3,1
19.2,59.4,19.4,0.727,0.307,7.9,0.91,25.0,1,4.0,85.2,1
9.4,95.4,5.9,0.754,0.163,4.5,0.711,7.0,0,30.0,78.9,1
17.6,93.2,11.4,0.575,0.113,4.0,0.659,8.0,4,7.0,78.0,1
22.2,50.9,25.0,0.632,0.292,5.2,0.783,23.0,3,14.0,83.4,1
2.6,48.0,3.3,0.969,0.391,7.5,0.763,5.0,1,27.0,68.8,1
11.0,69.4,9.5,0.923,0.212,4.8,0.663,9.0,3,9.0,71.0,1
17.9,40.0,25.0,0.356,0.176,4.1,0.689,33.0,2,14.0,59.0,0
14.0,66.0,12.7,0.464,0.178,4.9,0.454,1.0,3,12.0,63.5,1
16.9,75.3,13.4,0.532,0.185,4.9,0.83,3.0,1,8.0,90.6,1
12.0,84.5,8.5,0.809,0.287,7.2,0.744,37.0,1,7.0,82.2,1
15.4,58.0,16.0,0.667,0.244,4.2,0.293,18.0,2,5.0,81.9,1
14.2,55.9,15.3,0.485,0.1,4.2,0.887,17.0,1,1.0,62.5,1
20.8,42.4,25.0,0.584,0.507,3.2,0.89,3.0,6,10.0,66.0,1
16.3,43.5,22.5,0.595,0.457,7.4,0.698,14.0,3,7.0,60.9,1
16.7,55.5,18.1,0.814,0.203,5.8,0.868,6.0,5,7.0,84.8,1
12.9,67.3,11.5,0.7,0.271,10.2,0.583,26.0,1,15.0,100.0,1
12.6,78.3,9.6,0.37,0.124,9.5,0.349,26.0,1,12.0,79.1,1
12.8,43.9,17.5,0.701,0.213,6.1,0.893,8.0,3,19.0,94.6,1
17.0,89.9,11.3,0.755,0.018,5.0,0.864,19.0,0,8.0,87.1,1
12.9,54.6,14.2,0.98,0.213,5.4,0.513,17.0,1,5.0,90.6,1
16.4,59.6,16.6,0.808,0.362,3.6,0.631,12.0,0,16.0,94.6,1
25.4,45.1,25.0,0.641,0.229,3.2,0.815,6.0,2,16.0,83.1,1
19.4,15.0,25.0,0.855,0.238,2.9,0.644,9.0,2,13.0,74.0,1
13.4,77.7,10.3,0.666,0.439,4.8,0.69,25.0,2,6.0,68.5,1
21.0,74.7,16.9,0.748,0.324,0.7,0.786,33.0,1,11.0,88.6,1
13.0,54.4,14.3,0.788,0.156,12.3,0.816,10.0,1,5.0,83.5,1
4.8,61.3,4.7,0.759,0.392,14.0,0.792,36.0,1,7.0,90.3,1
10.0,70.3,8.5,0.744,0.233,2.7,0.93,18.0,1,21.0,71.7,1
5.6,28.7,11.8,0.425,0.602,14.0,0.846,12.0,1,8.0,63.1,1
13.2,49.4,16.1,0.582,0.255,2.8,0.8,11.0,0,18.0,62.5,1
15.1,75.9,11.9,0.764,0.118,5.4,0.694,7.0,2,13.0,80.7,1
23.4,34.9,25.0,0.451,0.176,6.7,0.928,20.0,3,26.0,91.0,1
16.6,65.9,15.2,0.3,0.229,5.7,0.769,40.0,2,13.0,87.1,1
13.9,32.9,25.0,0.58,0.477,3.8,0.817,12.0,6,13.0,72.4,1
19.1,69.3,16.6,0.888,0.201,3.7,0.62,6.0,2,4.0,87.5,1
3.9,59.3,4.0,0.689,0.105,8.4,0.778,23.0,7,7.0,80.2,1
16.2,27.7,25.0,0.52,0.137,10.4,0.823,10.0,0,9.0,72.1,1
18.9,83.3,13.6,0.901,0.07,1.5,0.779,7.0,2,30.0,87.7,1
7.6,45.3,10.1,0.437,0.33,6.2,0.34,3.0,2,7.0,45.4,0
20.7,43.8,25.0,0.839,0.221,7.5,0.722,20.0,4,5.0,81.6,1
16.7,64.0,15.6,0.695,0.387,6.0,0.719,30.0,2,4.0,82.8,1
12.9,83.0,9.3,0.4,0.415,2.1,0.496,4.0,1,4.0,70.9,1
18.2,39.7,25.0,0.74,0.251,7.2,0.769,10.0,1,30.0,81.5,1
26.4,61.2,25.0,0.624,0.474,9.6,0.911,11.0,6,12.0,87.1,1
15.9,68.6,13.9,0.676,0.057,3.2,0.527,7.0,3,6.0,82.5,1
16.2,73.9,13.2,0.751,0.385,3.8,0.886,35.0,0,22.0,86.4,1
12.7,63.5,12.0,0.727,0.487,6.0,0.795,3.0,2,28.0,83.6,1
10.8,52.7,12.2,0.834,0.263,5.1,0.89,18.0,5,6.0,95.7,1
19.2,43.4,25.0,0.676,0.188,3.8,0.42,21.0,1,8.0,90.3,1
10.7,61.7,10.4,0.961,0.549,2.4,0.69,7.0,2,20.0,76.2,1
15.4,38.6,23.9,0.645,0.144,4.0,0.72,5.0,0,16.0,71.7,1
12.6,15.0,25.0,0.847,0.287,1.1,0.91,8.0,3,10.0,81.0,1
17.4,68.7,15.2,0.84,0.174,7.6,0.886,2.0,1,21.0,87.4,1
16.7,78.1,12.8,0.665,0.163,3.4,0.604,9.0,2,3.0,84.2,1
20.2,15.0,25.0,0.565,0.104,8.3,0.65,10.0,2,5.0,68.3,1
12.4,39.8,18.8,0.887,0.519,4.7,0.794,46.0,3,7.0,81.3,1
13.7,72.4,11.3,0.84,0.141,5.8,0.761,2.0,3,6.0,88.7,1
10.1,101.1,6.0,0.689,0.194,1.7,0.639,12.0,1,2.0,66.4,1
12.8,60.4,12.7,0.659,0.371,7.9,0.659,23.0,1,8.0,76.9,1
16.9,45.4,22.3,0.765,0.267,14.0,0.794,41.0,1,15.0,75.9,1
18.8,56.3,20.0,0.822,0.182,4.2,0.693,3.0,0,17.0,89.6,1
10.4,87.5,7.1,0.67,0.173,5.7,0.621,45.0,5,17.0,95.1,1
19.3,47.1,24.7,0.826,0.275,6.2,0.626,10.0,2,20.0,82.6,1
21.8,44.0,25.0,0.748,0.181,2.2,0.532,10.0,2,14.0,83.2,1
17.1,50.3,20.3,0.894,0.391,2.7,0.633,4.0,2,8.0,73.8,1
24.4,40.9,25.0,0.833,0.379,7.3,0.584,14.0,2,3.0,92.1,1
11.1,62.5,10.7,0.98,0.297,3.2,0.694,45.0,1,3.0,79.4,1
8.8,92.5,5.7,0.795,0.353,4.6,0.478,14.0,1,12.0,77.1,1
6.1,66.5,5.5,0.966,0.194,5.8,0.898,6.0,1,6.0,81.8,1
22.5,55.0,24.5,0.656,0.268,7.4,0.458,8.0,0,11.0,83.9,1
18.3,54.2,20.2,0.899,0.182,4.8,0.713,8.0,4,5.0,63.8,1
14.7,28.7,25.0,0.955,0.526,4.9,0.82,37.0,3,22.0,77.8,1
16.4,77.7,12.7,0.557,0.125,14.0,0.749,43.0,2,9.0,85.9,1
9.4,58.4,9.6,0.815,0.251,9.1,0.52,3.0,5,9.0,75.3,1
27.2,56.4,25.0,0.331,0.286,4.3,0.622,5.0,4,10.0,63.5,1
15.6,123.9,7.6,0.784,0.262,4.9,0.4,5.0,3,1.0,63.6,1
15.5,66.0,14.1,0.845,0.487,13.7,0.604,8.0,3,21.0,100.0,1
18.6,45.0,24.9,0.561,0.217,7.5,0.68,48.0,2,5.0,85.6,1
17.4,51.5,20.3,0.591,0.281,9.7,0.65,44.0,1,10.0,80.9,1
16.1,83.0,11.7,0.721,0.347,4.2,0.643,13.0,4,11.0,85.2,1
11.0,62.3,10.6,0.824,0.294,3.9,0.781,9.0,3,6.0,77.8,1
17.4,31.2,25.0,0.513,0.311,11.9,0.473,1.0,2,15.0,75.3,1
24.4,78.4,18.7,0.662,0.167,5.1,0.78,16.0,5,19.0,94.8,1
21.7,46.6,25.0,0.507,0.104,5.1,0.308,14.0,3,3.0,75.9,1
23.0,97.5,14.1,0.952,0.197,4.1,0.865,4.0,1,16.0,97.4,1
12.4,81.6,9.1,0.738,0.387,9.5,0.52,18.0,1,2.0,68.6,1
10.1,51.1,11.8,0.601,0.289,6.0,0.961,26.0,3,6.0,87.1,1
14.4,85.6,10.1,0.861,0.256,2.5,0.768,4.0,0,7.0,73.7,1
15.3,61.4,14.9,0.678,0.224,3.8,0.7,9.0,4,8.0,87.2,1
